"","m_list1","m_list2","m_list3","active"
"1","@cdopinion","CD Opinion"," ",TRUE
"2","@zhongbai2020","中国驻白俄罗斯大使馆","Diplomatic/Government",TRUE
"3","@amb_chenxu","Chen Xu","Diplomatic/Government",TRUE
"4","@amb_lisong","Li Song 李松","Diplomatic/Government",TRUE
"5","@amb_yiming","Zhang Yiming","Diplomatic/Government",TRUE
"6","@amb_zhujing","Zhu Jing 朱京","Diplomatic/Government",TRUE
"7","@ambassadechine","Ambassade de Chine en France","Diplomatic/Government",TRUE
"8","@ambassador_liu","Liu Yuxi","Diplomatic/Government",TRUE
"9","@ambassadorhuang","Huang Xingyuan","Diplomatic/Government",TRUE
"10","@ambassadorlei","Lei Kezhong","Diplomatic/Government",TRUE
"11","@ambassadorzhang","Amb. Zhang Lizhong","Diplomatic/Government",TRUE
"12","@ambchanghua","Chang Hua","Diplomatic/Government",TRUE
"13","@ambchenbo","Chen Bo","Diplomatic/Government",TRUE
"14","@ambchenweiqing","Chen Weiqing","Diplomatic/Government",TRUE
"15","@AmbCHENXiaodong","AmbCHENXiaodong","Diplomatic/Government",TRUE
"16","@ambchineburundi","Ambassade de Chine au Burundi","Diplomatic/Government",TRUE
"17","@ambchinecmr","Ambassade de Chine au Cameroun","Diplomatic/Government",TRUE
"18","@ambchineenrdc","Ambassade de Chine en RDC中国驻刚果（金）大使馆","Diplomatic/Government",TRUE
"19","@ambchinetchad","Ambassade de Chine au Tchad","Diplomatic/Government",TRUE
"20","@ambcina","Ambasciata Repubblica Popolare Cinese in Italia","Diplomatic/Government",TRUE
"21","@ambcuitiankai","Cui Tiankai","Diplomatic/Government",TRUE
"22","@AmbDongXiaojun","Dong Xiaojun","Diplomatic/Government",TRUE
"23","@ambliaoliqiang","Liao Liqiang","Diplomatic/Government",TRUE
"24","@ambliuguangyuan","Liu Guangyuan","Diplomatic/Government",TRUE
"25","@ambliuquan","Quan Liu","Diplomatic/Government",TRUE
"26","@ambliuxiaoming","Liu Xiaoming","Diplomatic/Government",TRUE
"27","@ambzhoujian","Zhou Jian","Diplomatic/Government",TRUE
"28","@beltandroaddesk","Belt and Road & Beyond","Diplomatic/Government",TRUE
"29","@CAOYI170610","曹 毅 CAO Yi (أبو وسيم)","Diplomatic/Government",TRUE
"30","@cathaypak","Chinese Emb Pakistan","Diplomatic/Government",TRUE
"31","@cgccusa","China General Chamber of Commerce – USA","Diplomatic/Government",TRUE
"32","@cgchina_cpt","Lin Jing 林静","Diplomatic/Government",TRUE
"33","@CGChinaLiYang","Li Yang","Diplomatic/Government",TRUE
"34","@cgprcindubai","ChinaConsulateDubai","Diplomatic/Government",TRUE
"35","@cgzhangpingla","Zhang Ping","Diplomatic/Government",TRUE
"36","@china_amb_india","Sun Weidong","Diplomatic/Government",TRUE
"37","@china_amb_zim","Chinese Ambassador to Zimbabwe","Diplomatic/Government",TRUE
"38","@china_emb_ng","Chinese Embassy in Nigeria","Diplomatic/Government",TRUE
"39","@china_embajada","Embajada de China en Colombia","Diplomatic/Government",TRUE
"40","@china_lyon","Consulat Général de Chine à Lyon","Diplomatic/Government",TRUE
"41","@china_opcw","Chinese Permanent Mission to the OPCW","Diplomatic/Government",TRUE
"42","@china2asean","Ambassador Deng Xijun","Diplomatic/Government",TRUE
"43","@chinaambbelgium","Cao Zhongming","Diplomatic/Government",TRUE
"44","@chinaambuganda","Zheng ZhuQiang","Diplomatic/Government",TRUE
"45","@chinaambun","Zhang Jun","Diplomatic/Government",TRUE
"46","@chinaandsamoa","中国驻萨摩亚大使馆 Chinese Embassy in Samoa","Diplomatic/Government",TRUE
"47","@chinacgcalgary","Chinese Consulate General in Calgary","Diplomatic/Government",TRUE
"48","@chinaconsulate","Chinese Consulate General in Chicago","Diplomatic/Government",TRUE
"49","@chinaconsulist","Çin Başkonsolosluğu Sözcüsü/中国驻伊斯坦布尔总领馆发言人","Diplomatic/Government",TRUE
"50","@chinaconsydney","Chinese Consulate General in Sydney","Diplomatic/Government",TRUE
"51","@chinaemb_hellas","Chinese Embassy in Greece","Diplomatic/Government",TRUE
"52","@chinaembaddis","Chinese Embassy in Ethiopia","Diplomatic/Government",TRUE
"53","@chinaembajada","Embajada de China en Chile","Diplomatic/Government",TRUE
"54","@chinaembajadard","EmbajadaChinaenRD","Diplomatic/Government",TRUE
